,x0,x1,x2,x3,y0,y1,sample,out_hull
0,5.1,3.5,1.4,0.2,1.0,0.0,False,False
1,4.9,3.0,1.4,0.2,1.0,0.0,False,False
2,4.7,3.2,1.3,0.2,1.0,0.0,False,False
3,4.6,3.1,1.5,0.2,1.0,0.0,False,False
4,5.0,3.6,1.4,0.2,1.0,0.0,False,False
5,5.4178500000000005,3.8699,1.7885499999999999,0.43885,0.5947234421026877,0.15935763272044232,True,False
6,4.60105,3.3968499999999997,1.41085,0.3049,0.6871484392698174,0.12489414464739743,True,False
7,5.0,3.4,1.5,0.2,1.0,0.0,False,False
8,4.4,2.9,1.4,0.2,0.668639672574057,0.13181891979109767,True,False
9,4.9,3.1,1.5,0.1,0.6549428095140897,0.1346311435367194,True,False
10,5.4,3.7,1.5,0.2,1.0,0.0,False,False
11,4.8,3.4,1.6,0.2,1.0,0.0,False,False
12,4.8,3.0,1.4,0.1,0.6571188205499184,0.13317727413596578,True,False
13,4.3,3.0,1.1,0.1,0.6469526598547821,0.1354520648059598,True,True
14,5.8,4.0,1.2,0.2,0.568374613516382,0.15318265678994877,True,True
15,5.7,4.4,1.5,0.4,0.5203232519504687,0.1627135832055426,True,False
16,5.4,3.9,1.3,0.4,0.6184880814348555,0.14178693810305984,True,True
17,5.714,3.7748,1.7952,0.34375,0.5509930485491165,0.1708401447808313,True,True
18,5.1,3.8,1.5,0.3,1.0,0.0,False,False
19,5.4,3.4,1.7,0.2,0.6052739235225426,0.15136716559025154,True,False
20,5.1,3.7,1.5,0.4,1.0,0.0,False,False
21,4.6,3.6,1.0,0.2,0.6169059365173888,0.14014294892182055,True,False
22,5.1209999999999996,3.2754999999999996,1.763,0.5175,0.6516810247682688,0.1414194025454828,True,True
23,4.8,3.4,1.9,0.2,0.6052867704646214,0.1558451781974079,True,True
24,5.02555,2.9846,1.66825,0.228,0.6475128441977018,0.14379802146937729,True,True
25,5.0,3.4,1.6,0.4,1.0,0.0,False,False
26,5.2,3.5,1.5,0.2,1.0,0.0,False,False
27,5.2,3.4,1.4,0.2,1.0,0.0,False,False
28,4.7940499999999995,3.107,1.59965,0.20595000000000002,0.7359438412284559,0.10991117280738055,True,True
29,5.421,3.3863499999999997,1.59765,0.4413,0.5915468658677044,0.15580939039500233,True,True
30,5.2,4.1,1.5,0.1,0.5755408917235719,0.1534663946465583,True,True
31,5.5,4.2,1.4,0.2,0.5835270643884272,0.14939930844921717,True,False
32,4.9,3.1,1.5,0.2,1.0,0.0,False,False
33,5.0,3.2,1.2,0.2,0.7007530517835695,0.1179358768892127,True,True
34,5.5,3.5,1.3,0.2,0.6151056506797609,0.1438415701622604,True,False
35,4.9,3.6,1.4,0.1,0.6939644757046644,0.11998198703552522,True,True
36,5.0,3.5,1.3,0.3,1.0,0.0,False,False
37,4.5,2.3,1.3,0.3,0.6023657660718084,0.1513551303428674,True,True
