,x0,x1,x2,x3,x4,y0,y1,sample,out_hull
0,41487.0,815.9,299.046841010359,177.08148964382,1.68875268449492,0.9999999998435685,7.804326948478418e-11,True,True
1,41488.0,759.552,283.142777158865,186.985489125408,1.51425000134083,0.29970643501069505,0.00013620464430420888,True,True
2,42012.0,809.77,266.700396449385,202.381087576316,1.31781284330145,0.9999999997340172,1.3340720410978193e-10,True,True
3,43122.0,838.186,296.404588940618,185.65759983727,1.5965120156698,0.9999999991010082,4.47949885947022e-10,True,True
4,43145.0,799.426,273.402944608296,201.266886170385,1.35840996902413,0.9940710270723638,0.0002504299799260879,True,True
5,44027.0,813.833,293.371828320792,192.111173792847,1.52709403898148,0.9999999995139105,2.430192860247459e-10,True,True
6,44924.0,817.215,282.148820572401,203.161850404817,1.38878839708437,1.0,0.0,False,False
7,45012.0,854.166,299.287397850623,192.127518032417,1.55775393819497,1.0,0.0,False,False
8,45564.0,802.744,296.073696646541,196.340280521745,1.50796207410812,1.0,0.0,False,False
9,45653.0,841.132,303.469490906796,191.932076519221,1.58112961840646,0.9999999987937042,6.031590352890327e-10,True,False
10,46774.0,833.722,305.703886756429,196.146060717604,1.5585522627271,1.0,0.0,False,False
11,47003.0,821.301,300.190765139881,200.111284395284,1.5001191264502,0.999999999829404,8.526603913612383e-11,True,False
12,47143.0,858.562,296.846277802649,203.058711616237,1.4618741320671,1.0,0.0,False,False
13,47149.0,857.69,300.287893226809,200.319914210497,1.4990416425162,1.0,0.0,False,False
14,47794.0,833.459,279.654556359284,217.918565037495,1.28329844825826,1.0,0.0,False,False
15,47883.0,873.536,327.998649304693,186.520127158317,1.7585161145976,1.0,0.0,False,False
16,47940.0,854.752,284.153788663003,215.157251271362,1.320679581952,0.9999999992245487,3.8767371231648095e-10,True,False
17,47981.0,809.088,291.653968130923,210.043156934616,1.38854306128007,0.9999999995690049,2.1547807978639257e-10,True,True
18,48160.0,829.234,304.528282443808,202.715512943037,1.5022445890926,1.0,0.0,False,False
19,48165.0,824.701,310.021008765904,198.259982140897,1.56370945572659,1.0,0.0,False,False
20,48439.0,810.37,297.981991999216,207.317838077011,1.43731959952489,0.265198492690444,1.4070868089740126e-05,True,False
21,48638.0,874.666,303.607016013104,204.656323639957,1.48349687228442,1.0,0.0,False,False
22,48831.0,871.27,318.95142908751,195.579961452587,1.63079809771222,1.0,0.0,False,False
23,48868.0,885.296,313.62991424225,198.97255764932,1.5762470862691,0.9999999995920799,2.0373980237984233e-10,True,True
24,48915.0,894.486,310.087569282118,201.755850755202,1.53694461955584,1.0,0.0,False,False
25,49166.0,856.332,293.775566600211,214.168882586054,1.3717005152799,0.9999999988728389,5.63586259326339e-10,True,False
26,49309.0,867.448,304.072323453285,206.812910624625,1.47027727879712,1.0,0.0,False,False
