,training_error,error_variance,edge_variance,real_error
0,0.1171541668142656,0.24511108246153832,0.05376532065951072,0.22
1,0.11707576311093074,0.2449723292605425,0.05280101265246712,0.22
2,0.1169409025339252,0.24495567331646928,0.05196332986679783,0.2
3,0.11689051182460426,0.24494102675078722,0.051210651924218704,0.2
4,0.11686190483906185,0.24491705677074802,0.05050485729908015,0.22
5,0.11683524938275604,0.24491125815694353,0.049965117744941986,0.22
6,0.11692096030686758,0.2449997800608638,0.04952181851475047,0.22
7,0.11684041745101671,0.24492953933537015,0.04900619541392527,0.22
8,0.11676883407894342,0.2448721869751529,0.048588053883754784,0.22
9,0.11683346826137933,0.24493983683907056,0.04824438369939378,0.22
10,0.1168208237767141,0.24492643980671544,0.04792558805704347,0.22
11,0.11686015885504514,0.24491297450657862,0.04769557571826212,0.22
12,0.11685590235783722,0.24492388335955087,0.04739794885810592,0.22
13,0.11679539671174144,0.24491005632182888,0.04715164916079032,0.22
14,0.11679197582321034,0.24491462295780145,0.04694673506705604,0.22
15,0.11676500613027983,0.24485950406658868,0.046751642630045956,0.22
16,0.11675517088714045,0.2448347369923853,0.04656252083966154,0.22
17,0.11674943250801907,0.24480001291502124,0.04641570069131413,0.22
18,0.11678210531109037,0.24478778187078037,0.04627118084175329,0.22
19,0.11681507103849396,0.2447733855585512,0.04601107965049776,0.22
20,0.11681643088664968,0.2447395080657179,0.04583671150729493,0.22
21,0.11682374989034641,0.24473692066542277,0.045705821670742316,0.22
22,0.11679489435805225,0.24475824969496204,0.045524941102267485,0.22
23,0.11682991627055919,0.2447710395755641,0.04539285248057074,0.22
24,0.11681980552980886,0.24475304410906332,0.045244798849570514,0.22
25,0.11685964856443362,0.24476160122755736,0.0451194318467362,0.22
26,0.11682815775480988,0.24476897659210367,0.04499040942374485,0.22
27,0.11685324171549268,0.24478744288370272,0.044905795246714515,0.22
28,0.11684793653634194,0.24475319549774777,0.04481452910954301,0.22
29,0.11688612154089702,0.2447452821997074,0.0447445409223894,0.22
30,0.11686465216789028,0.24473952901514742,0.04467212872924668,0.22
31,0.11685597780510085,0.24470994300311028,0.044571534969202506,0.22
32,0.11686977948200185,0.24470449693335344,0.04451454481032875,0.22
33,0.11692451897654425,0.2447237241026118,0.04442819637093853,0.22
34,0.11693655040782504,0.24472148880201167,0.04435320585853843,0.22
35,0.11691736296135273,0.24469807123373538,0.0442878359365725,0.22
36,0.11693493997994525,0.24471046082157577,0.04417900144799942,0.22
37,0.11692270832948456,0.24468500403915902,0.04411220069432277,0.22
